ownerUsername,postUrl,timestamp,likesCount,id,text,Sentimento,Pontuacao
crabsebrae,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-03T15:41:03.000Z,0,17923941086529699,@isaacmarianno nós também 😍🤩🤩,positive,"0,98189"
crabsebrae,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-03T15:42:05.000Z,0,18264961978112428,@bem.feito.ria simm!!🤩🤩,positive,"0,95608"
crabsebrae,https://www.instagram.com/p/Cmo8dMcyoYk/,2023-01-03T15:43:13.000Z,0,17973465832950749,"@brunapelegrino1 é uma mais linda que a outra, né 🤩",positive,"0,96675"
crabsebrae,https://www.instagram.com/p/Cmo8dMcyoYk/,2023-01-03T15:43:39.000Z,1,18044618152399021,"@mayarahfs que incrível Mayara, muito obrigado 🤩🤩🤩",positive,"0,996441"
crabsebrae,https://www.instagram.com/p/Cmo8dMcyoYk/,2023-01-03T15:43:52.000Z,0,17855455916851814,"@caiosanttos01 lindas mesmo,né?🤩",positive,"0,938344"
crabsebrae,https://www.instagram.com/p/Cmo8dMcyoYk/,2023-01-03T15:44:33.000Z,1,17888407958765430,"@andreacapellao que lindo! As peças do mestre Espedito são especiais,né 🤩",positive,"0,944535"
crabsebrae,https://www.instagram.com/p/Cmo8dMcyoYk/,2023-01-03T15:44:44.000Z,0,17951617952234923,@ecosambe queremos ver também 🤩✨,positive,"0,921342"
crabsebrae,https://www.instagram.com/p/Cmre6gEygFf/,2023-01-03T15:45:00.000Z,0,17981476057843407,@brunapelegrino1 ❤️😍,positive,"0,990745"
crabsebrae,https://www.instagram.com/p/Cmre6gEygFf/,2023-01-03T15:45:13.000Z,0,17875415744799345,@caiosanttos01 foi lindo mesmo🤩💛✨,positive,"0,988522"
crabsebrae,https://www.instagram.com/p/Cmre6gEygFf/,2023-01-03T15:45:37.000Z,1,18200912185230963,@leo_thecid só lugar lindo por aqui 🤩,positive,"0,9803"
crabsebrae,https://www.instagram.com/p/Cmre6gEygFf/,2023-01-03T15:45:41.000Z,1,17857922996844113,@maristela.pessoa 😍😍😍,positive,"0,996842"
crabsebrae,https://www.instagram.com/p/Cmre6gEygFf/,2023-01-03T15:46:13.000Z,1,17982618766834094,@carlamonnerat obrigado pelo reconhecimento!!!🤩🤩💛,positive,"0,972269"
crabsebrae,https://www.instagram.com/p/Cmwj8m8DHrG/,2023-01-03T15:46:45.000Z,0,18331313956044364,@brunapelegrino1 foi lindo demais🤩💛,positive,"0,987076"
crabsebrae,https://www.instagram.com/p/Cmwj8m8DHrG/,2023-01-03T15:47:00.000Z,0,17951806577223463,@bemonnerat foi incrível abrir nosso coração ao público 🤩💛,positive,"0,972973"
crabsebrae,https://www.instagram.com/p/CmzOf6vv8ts/,2023-01-03T15:47:33.000Z,0,17854449557890128,@brunapelegrino1 nossa equipe é incrível demais💛🤩,positive,"0,982811"
crabsebrae,https://www.instagram.com/p/CmzOf6vv8ts/,2023-01-03T15:47:45.000Z,0,17957479706112630,@pierremeloniole equipe linda demais🤩💛,positive,"0,982236"
crabsebrae,https://www.instagram.com/p/CmzOf6vv8ts/,2023-01-03T15:47:53.000Z,0,18268286002108462,@caiosanttos01 🤩🤩💛,positive,"0,897598"
crabsebrae,https://www.instagram.com/p/CmzOf6vv8ts/,2023-01-03T15:48:02.000Z,0,17988124207737577,@launat_ maravilhosa mesmo🤩💛,positive,"0,987605"
crabsebrae,https://www.instagram.com/p/CmzOf6vv8ts/,2023-01-03T15:48:23.000Z,1,17967484919116104,@mayarahfs vida longa ao CRAB e vem aí 🤩🤭,neutral,0
crabsebrae,https://www.instagram.com/p/CmzOf6vv8ts/,2023-01-03T15:48:27.000Z,1,17936386202467125,@bembrasilregional 🤩🤩💛,positive,"0,897598"
crabsebrae,https://www.instagram.com/p/CmzOf6vv8ts/,2023-01-03T15:48:32.000Z,0,17965256768006059,@patgvc 🤩💛,positive,"0,831754"
crabsebrae,https://www.instagram.com/p/CmzOf6vv8ts/,2023-01-03T15:48:40.000Z,1,17952554096199406,@emiliamelo.007 arrasou🤩,positive,"0,932099"
crabsebrae,https://www.instagram.com/p/CmzOf6vv8ts/,2023-01-03T15:48:52.000Z,0,17996427754613456,@graciela_urquiza sucesso🤩💛,positive,"0,967872"
crabsebrae,https://www.instagram.com/p/CmzOf6vv8ts/,2023-01-03T15:49:07.000Z,0,17988661093706738,@lilianrsimoes que venha 2023!!💛,positive,"0,806326"
crabsebrae,https://www.instagram.com/p/CmzOf6vv8ts/,2023-01-03T15:49:18.000Z,0,17903126219642141,@carlosmellesoficial 🤩💛🥳,positive,"0,807374"
crabsebrae,https://www.instagram.com/p/Cm2AOleNTfS/,2023-01-03T15:49:45.000Z,0,17968857995028772,@brunapelegrino1 ❤️,positive,"0,97728"
crabsebrae,https://www.instagram.com/p/Cm2AOleNTfS/,2023-01-03T15:49:58.000Z,0,17968951181081867,@caiosanttos01 ano lindo demais❤️,positive,"0,99615"
crabsebrae,https://www.instagram.com/p/Cm2AOleNTfS/,2023-01-03T15:50:11.000Z,0,17943857735339166,@marcelafragoso23 🤩🤩,positive,"0,780595"
crabsebrae,https://www.instagram.com/p/Cm2AOleNTfS/,2023-01-03T15:50:19.000Z,1,17938849622410303,@apfonte muito amor mesmo💛🤩,positive,"0,980152"
crabsebrae,https://www.instagram.com/p/Cm2AOleNTfS/,2023-01-03T15:50:33.000Z,1,17972342032999446,@carlamonnerat tem muito mais 🥳🤩💛,positive,"0,784045"
crabsebrae,https://www.instagram.com/p/Cmg-kEZM_iK/,2023-01-03T15:51:08.000Z,1,17911262222682257,@segueofio incrível demais🤩💛,positive,"0,991592"
crabsebrae,https://www.instagram.com/p/Cmg-kEZM_iK/,2023-01-03T15:51:11.000Z,0,17996322829612753,@artenahlinha 🤩💛,positive,"0,831754"
brunapelegrino1,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-03T19:31:43.000Z,1,17952165086511731,"História, cultura e conhecimento ❤️ amei! 👏👏👏",positive,"0,966526"
mascarenhascl,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-03T19:38:39.000Z,1,17919287981647834,"Encantador, história e artesanato.",positive,"0,942404"
maristela.pessoa,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-03T19:43:54.000Z,2,18262224472114876,"Brasil, conhecimento encantador!",positive,"0,971893"
melissaspfc.almeida,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-03T19:45:33.000Z,1,17993661490583091,"Encantador, artesanato, cultura 😍",positive,"0,984113"
mariaaliceatelier,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-03T19:45:42.000Z,1,18346045438008723,"Artesanato, cultura e Brasilidade ✨✨✨",positive,"0,88781"
pierremeloniole,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-03T19:52:35.000Z,1,17942036042350610,"Brasilidade, conhecimento e cultura.",positive,"0,765525"
caiosanttos01,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-03T19:53:56.000Z,1,17995091776617274,"Alegria, cultura e brasilidades😍❤️",positive,"0,997255"
franciscoojunior_,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-03T20:00:09.000Z,2,17998264939554905,Visitei hoje e adorei. Super recomendo. Parabéns!,positive,"0,992251"
raiscroche,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-03T20:08:02.000Z,1,17962256147277863,"Conhecimento, História e Brasilidade",positive,"0,747353"
luiz_mattos01,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-03T20:14:52.000Z,2,18000179077603349,"Encantador, Brasilidade e Cultura 😍❤️",positive,"0,993146"
na_bru_,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-03T20:29:39.000Z,2,17861779274852384,"Encantadora, história e artesanato",positive,"0,92002"
patriciaavillela,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-03T21:20:09.000Z,1,17976023293831297,Adoro!! Vou a todas as expo 👏👏👏👏Agora queria comprar o bode da expo. Como faço???,positive,"0,913252"
ecosambe,https://www.instagram.com/p/Cmo8dMcyoYk/,2023-01-03T21:38:02.000Z,0,18018419023485153,@crabsebrae como posso mostrar algumas das minhas peças pra ver se podem fazer parte da loja de vocês?,neutral,0
claudiaramiresbiscuit,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-03T21:40:58.000Z,1,18253311943130620,Encantador; História e Artesanato,positive,"0,9187"
lucianamacielviana,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-03T21:46:54.000Z,1,17969201750085025,"Cultura, brasilidade e conhecimento 👏",positive,"0,83323"
gabi_varela_lapa_,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-03T21:51:16.000Z,1,17926758524631274,"História , artesanato e cultura",positive,"0,775741"
segueofio,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-03T22:09:36.000Z,1,17950878419390579,"Artesanato, cultura, comhecimento",neutral,0
apfonte,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-03T22:46:33.000Z,2,17940039329387836,"Encantador, História e Artesanato ❤️❤️❤️",positive,"0,997603"
elaine_almeida05,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-04T01:19:04.000Z,0,17976966400804181,"Fui hj, e adorei 👏👏",positive,"0,985546"
mulambochiq,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-04T03:37:05.000Z,1,18328152403064651,"Encantador, história e alegria",positive,"0,994066"
pattyyamamoto,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-04T10:53:35.000Z,1,18238756189155054,"Encantador, artesanato e cultura 😍",positive,"0,985573"
claudethgsantos,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-04T11:22:17.000Z,2,18212482219201524,Eu fui: tudo lindo! Gostei demais em ver as exposições e fiquei muito orgulhosa de ver nossa arte paraibana.,positive,"0,981136"
terezinha.matias.560,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-04T12:33:04.000Z,0,17860203212857247,Muito importante  pra nos artesãs  ver divulgar nosso trabalho,positive,"0,930648"
crabsebrae,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-04T15:31:34.000Z,0,18199142362225720,"@claudethgsantos que lindo, obrigado pela visita🤩🤩✨",positive,"0,990536"
crabsebrae,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-04T15:33:30.000Z,0,17950222223417071,@maristela.pessoa um lindo 2023🤩💛✨,positive,"0,983725"
crabsebrae,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-04T15:35:03.000Z,0,18173856178252002,@luiz_mattos01 arrasou🤩🤩,positive,"0,962036"
crabsebrae,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-04T17:24:07.000Z,0,18248531977123745,@brunapelegrino1 Que assim seja🤩💛,positive,"0,695303"
crabsebrae,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-04T17:24:52.000Z,1,17850383540881806,@mayarahfs 🤩🤩🤩,positive,"0,857485"
crabsebrae,https://www.instagram.com/p/Cm9rDgKNtAN/,2023-01-04T17:25:30.000Z,1,17937527255590411,@pierremeloniole que ano lindo🤩💛,positive,"0,975528"
moniquetamiozo,https://www.instagram.com/p/CnAK_4PSfqN/,2023-01-04T18:40:07.000Z,4,17960654384211529,"Tô indo pra Paraiba pra conhecer pessoalmente. Mas apoio demais o movimento de vcs!!! Conheci artesãos na Amazônia onde seus trabalhos foram divulgados por vcs, e isso é incrível!!! Viva a cultura. Viva a divulgação!!! Viva o crabsebrae!!!!",positive,"0,837988"
patriciaavillela,https://www.instagram.com/p/CnAK_4PSfqN/,2023-01-04T18:45:20.000Z,1,17957742089497616,Linda expo 👏👏👏,positive,"0,993832"
vanessaqueiroz2021,https://www.instagram.com/p/CnAK_4PSfqN/,2023-01-04T19:09:47.000Z,1,17913361058667338,🥰,neutral,0
beatriz_crespo_s,https://www.instagram.com/p/CmW6xu8t5_y/,2023-01-04T21:56:50.000Z,0,18239656282197765,Por favor!Quais os dias e horários de funcionamento?,neutral,0
artesmaisgaleria,https://www.instagram.com/p/CnAK_4PSfqN/,2023-01-05T00:45:03.000Z,1,18047493748389093,Queremos fazer uma exposição regional aí no CRAB,neutral,0
blogueirosdofuturoo,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T03:15:31.000Z,0,18070878685340410,Uau 😍😍,positive,"0,997055"
arteterapia_lucianamachado,https://www.instagram.com/p/CnAK_4PSfqN/,2023-01-05T03:19:34.000Z,1,18007180090491663,Que máximo! Estou fora do Rio. Vai ate quando a exposição?,negative,"-0,298436"
miawoficial,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T03:27:12.000Z,0,17974214893853144,Ahh q show,positive,"0,694702"
pattyleoneoficial,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T03:58:17.000Z,0,17960381765247271,👏👏👏,positive,"0,932908"
taizi_missfitnessoficial,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T04:09:16.000Z,0,17951792747226632,Nossa que show hein 👏,positive,"0,807444"
amadarsantoro,https://www.instagram.com/p/CnAK_4PSfqN/,2023-01-05T04:15:51.000Z,1,18210227179207589,👏👏👏😍,positive,"0,985545"
rosiortega,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T05:57:44.000Z,1,18067999606342348,"Que demais, amei muito!!😍😍",positive,"0,998926"
danielsantanacantor,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T06:32:28.000Z,1,18247426132120936,Que linda foto arrasou,positive,"0,985238"
camilinhas72,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T06:32:41.000Z,1,17953967267186186,Detalhes que encantam,positive,"0,903278"
roxxsau,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T07:01:00.000Z,1,17956489316489399,coisa boa demais essas novidades! 🙌,positive,"0,966901"
juliio_docmann,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T07:51:55.000Z,0,17959568186205152,Top demais,positive,"0,972074"
juliio_docmann,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T07:51:56.000Z,0,17991988699713474,👏👏👏,positive,"0,932908"
saraalcantara_reserva,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T09:38:24.000Z,1,18263433844112992,Eu amo essas novidades 👏👏👏👏👏,positive,"0,992052"
davidsantia,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T09:58:13.000Z,0,18170338177268002,Coisa rica vc tá sempre arrasando com as suas postagens,positive,"0,518091"
bia.lima2019,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T09:59:07.000Z,0,17969968934046107,😍,positive,"0,931476"
bia.lima2019,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T09:59:16.000Z,0,18030716140442517,Linda exposicao,positive,"0,977203"
albertodenis706,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T10:01:16.000Z,0,17971311173058299,Curti a dica👏,positive,"0,952115"
1yasminmartins,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T10:07:04.000Z,1,17897291171727449,Eu estava no desfile de abertura,neutral,0
trilhasdovitamina,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T10:29:55.000Z,1,17882713865786390,"Adorei a dica, quero conhecer",positive,"0,989115"
familiasilveriio,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T12:15:04.000Z,0,18261290212140874,"Que perfeição,  amei",positive,"0,995605"
renatabonisson,https://www.instagram.com/p/CnAK_4PSfqN/,2023-01-05T13:30:48.000Z,1,17958811736257744,👏👏👏👏,positive,"0,962238"
umburana.arte,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T15:12:27.000Z,1,17921733686549927,👏👏👏👏👏👏,positive,"0,981115"
macielma_montes,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T16:23:28.000Z,1,17985183061763364,👏👏👏,positive,"0,932908"
elishistoria,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T16:24:04.000Z,0,18076104223334003,@lucianaoliveiradepaiva @feniciamaybe mais um para a lista,neutral,0
maristela.pessoa,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T16:32:19.000Z,2,18167008639256775,Sempre exposições sensacionais,positive,"0,903691"
deco_brito,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T17:02:00.000Z,1,17897189249726391,Ir ao @crabsebrae é sempre um ótimo programa!,positive,"0,942772"
emiliamelo.007,https://www.instagram.com/p/CnApNzPBTuz/,2023-01-05T19:01:20.000Z,0,17973188584964921,@nwanderlea,neutral,0
patriciaavillela,https://www.instagram.com/p/CnCtxYBNfQm/,2023-01-05T19:25:08.000Z,0,17943204320525627,Espetacular !!!!,positive,"0,981305"
jbedicoes,https://www.instagram.com/p/CnFQh4SrS-A/,2023-01-06T18:21:37.000Z,1,17974720309962260,Trabalho lindíssimo e apaixonante 👏🏿❤️🤩👏🏼,positive,"0,998589"
mineirinhartista,https://www.instagram.com/p/CnFQh4SrS-A/,2023-01-06T18:54:51.000Z,1,17968953185081782,Que lindo,positive,"0,977259"
tramacasa,https://www.instagram.com/p/CnFQh4SrS-A/,2023-01-06T19:35:19.000Z,1,17960369000270425,Lindo!,positive,"0,984306"
anac.laudiar,https://www.instagram.com/p/CnFQh4SrS-A/,2023-01-06T22:20:50.000Z,1,18015459466495751,Maravilhosa a exposição.,positive,"0,984238"
patriciaavillela,https://www.instagram.com/p/CnFQh4SrS-A/,2023-01-06T23:23:57.000Z,1,17972446222989466,Expo linda,positive,"0,952909"
lianazarethpintodecarvalho,https://www.instagram.com/p/CnFQh4SrS-A/,2023-01-07T08:20:45.000Z,1,17982134419831564,0s peixes saíram do balaio!,negative,"-0,5035"
fridameplante,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-07T14:55:19.000Z,3,17893719593742778,Como faço para expor a minha arte com vocês? Sou artesã de Nova Iguaçu RJ ❤️,positive,"0,967664"
leo_thecid,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-07T17:22:31.000Z,1,17910115697689179,CRAB é imperdível 😍,positive,"0,989532"
jbedicoes,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-07T18:17:32.000Z,1,18338840311025223,👏🏼❤️🥰😍👏🏿,positive,"0,99648"
marcellequintiliano,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-07T18:33:38.000Z,1,17942425022380194,meu lugar favorito ❤️,positive,"0,981974"
angela_tostes,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-07T19:00:56.000Z,6,17981949439883267,"É bom destacar q tem parada de vlt na frente. Quem vem de metrô ou trem tem paradas próximas tb. Se quiser integrar com você vlt, esse deixa na frente, na parada praça Tiradentes. É bom ressaltar essa facilidade.",positive,"0,89795"
elic_01,https://www.instagram.com/p/CnFQh4SrS-A/,2023-01-07T19:35:22.000Z,1,17931772574505957,@adriananovais__,neutral,0
caiosanttos01,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-07T20:03:01.000Z,1,17876238011761290,Eu amo muito😍😍,positive,"0,999284"
lucienegoveiamentora,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-07T21:09:18.000Z,1,18033063742394767,É lindo demais. Que saudades !!!,positive,"0,575686"
elisangela_allan,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-07T21:47:35.000Z,1,18075313921336899,@denicegustavo na praça Tiradentes centro RJ vc vai adorar ❤️,positive,"0,976382"
li_cantanhede,https://www.instagram.com/p/CnFQh4SrS-A/,2023-01-07T23:21:19.000Z,1,17952040166241467,É maravilhosamente montada,positive,"0,971684"
apfonte,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-08T02:22:29.000Z,1,17963784317146771,❤️,positive,"0,970144"
alineannegm,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-08T04:17:49.000Z,1,18043361557402310,@leandrol2lima 😮,neutral,0
aldoentalhe,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-08T11:26:46.000Z,2,17939000117443928,Realmente gostaria de divulgar minha arte  e poder mostrar para várias cidades.,positive,"0,771142"
silva.danif,https://www.instagram.com/p/CnFQh4SrS-A/,2023-01-08T12:18:10.000Z,1,18337133242040895,"Esta exposição é maravilhosa!!!!!👏👏👏 CRAB sempre surpreendendo com beleza, qualidade e sensibilidade. Meu espaço favorito 😍❤️",positive,"0,995424"
cearense_de_ocara_,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-08T15:43:52.000Z,2,18026303527419615,É aberto aos domingos?,neutral,0
cearense_de_ocara_,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-08T15:44:08.000Z,0,17964844586159035,@angela_tostes 👏👏👏,positive,"0,949785"
anarosamarcuartu_mentoria,https://www.instagram.com/p/CnKK1-QO0_9/,2023-01-08T17:11:37.000Z,1,17922874307540477,@walking_tour_bynivea lembrei de vocês. ❤️,positive,"0,755388"
carlamonnerat,https://www.instagram.com/p/CnKK1-QO0_9/,2023-01-08T17:26:30.000Z,1,17857063307874908,Excelente!!👏👏👏😍😍,positive,"0,999096"
elbinharj,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-09T12:08:47.000Z,1,18067660249346623,Tem programação infantil?,neutral,0
opazo.flor,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-09T16:23:53.000Z,1,17875241114768831,Vou visitar sim 😍,positive,"0,964132"
brunapelegrino1,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-09T16:27:13.000Z,1,17884039922782495,😍😍😍,positive,"0,996442"
crabsebrae,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-09T18:42:04.000Z,0,17938367429596675,@brunapelegrino1 😍😍😍,positive,"0,997632"
crabsebrae,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-09T18:43:13.000Z,0,17963794316163462,"@angela_tostes Sim!!! Obrigado pela dica, vamos falar dessa facilidade🤩❤️",positive,"0,80253"
crabsebrae,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-09T18:43:20.000Z,0,17961975389227223,@caiosanttos01 🤩💛✨,positive,"0,929539"
crabsebrae,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-09T18:43:37.000Z,1,17933069243614440,"@marcellequintiliano Aaah, que bom ler isso🤩✨",positive,"0,97613"
crabsebrae,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-09T18:44:06.000Z,1,17965546019158696,@goveialuciene Tá esperando o que pra voltar?? Venhaa🤩💛,positive,"0,647594"
crabsebrae,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-09T18:44:12.000Z,1,18337500373056331,@opazo.flor venhaa🤩💛,positive,"0,932604"
crabsebrae,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-09T18:44:17.000Z,0,17995934737625786,@jbedicoes 🤩🤩💛,positive,"0,897598"
crabsebrae,https://www.instagram.com/p/CnHZZFaNmPX/,2023-01-09T18:44:26.000Z,0,17873079143776631,@leo_thecid demais🤩💛,positive,"0,88366"
crabsebrae,https://www.instagram.com/p/CnKK1-QO0_9/,2023-01-09T18:45:51.000Z,1,18125891275291283,@anarosamarcuartu_mentoria 🤩🤩💛,positive,"0,897598"
crabsebrae,https://www.instagram.com/p/CnKK1-QO0_9/,2023-01-09T18:45:57.000Z,1,17949929471271709,@carlamonnerat 😍😍💛,positive,"0,996034"
crabsebrae,https://www.instagram.com/p/CnKK1-QO0_9/,2023-01-09T18:46:07.000Z,1,17982338953849547,@monicapereiratrilhas vem sim!!🤩💛,positive,"0,906289"
marlenenogueira.turismo.rio,https://www.instagram.com/p/CnNEDLiO4nZ/,2023-01-09T19:17:19.000Z,1,18227458702165822,Amei essa exposição.,positive,"0,986585"
inesdrummond_,https://www.instagram.com/p/CnNEDLiO4nZ/,2023-01-09T19:32:44.000Z,1,18024398881459848,Fica até  qd ess exposição?,neutral,0
crabsebrae,https://www.instagram.com/p/CnNEDLiO4nZ/,2023-01-10T15:05:38.000Z,1,17989127416705446,@inesdrummond_ Até março ❤️,positive,"0,909446"
crabsebrae,https://www.instagram.com/p/CnAK_4PSfqN/,2023-01-10T17:33:28.000Z,1,17987781784696101,@moniquetamiozo que incrível!!! Espero que curta a Paraíba e depois venha nos visitar🤩💛,positive,"0,925167"
crabsebrae,https://www.instagram.com/p/CnAK_4PSfqN/,2023-01-10T17:33:41.000Z,0,17953171541461061,@renatabonisson 🤩🤩,positive,"0,780595"
crabsebrae,https://www.instagram.com/p/CnAK_4PSfqN/,2023-01-10T17:33:51.000Z,0,18000363433601867,@amadarsantoro 🤩💛,positive,"0,831754"
